#,_id,fragment,button_fragment,device,brand,frequency,main_frame
26720,52174,DIRECTV STB2,Rewind,Set-top-box,DIRECTV,38462,"5750, 1150, 1150, 1150, 575, 575, 575, 575, 1150, 1150, 575, 575, 1150, 1150, 575, 575, 1150, 575, 575, 28750, 2875, 1150"
27645,54924,Sky STB1,7,Set-top-box,Sky,36036,"2592, 864, 432, 432, 432, 432, 432, 864, 432, 864, 864, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 864, 432, 432, 864, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 864, 432, 432, 432, 432, 120474"
28801,56461,Sun Direct STB1,Exit,Set-top-box,Sun Direct,36364,"2592, 864, 432, 432, 432, 432, 432, 864, 432, 864, 1296, 864, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 864, 864, 432, 432, 432, 432, 432, 432, 432, 432, 864, 864, 432, 432, 864, 864, 432, 432, 864, 432, 432, 432, 432, 432, 432, 864, 432, 432, 432, 432, 432, 432, 432, 432, 864, 432, 432, 67770"
30221,58482,EpsonProj4,InputVideo,Projectors,Epson,38095,"8892, 4472, 598, 1586, 598, 1586, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598, 1586, 598, 1586, 598, 598, 598, 1586, 598, 598, 598, 1586, 598, 598, 598, 1586, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598, 1586, 598, 1586, 598, 1586, 598, 598, 598, 1586, 598, 1586, 598, 1586, 598, 1586, 598, 598, 598, 598, 598, 598, 598, 1586, 598, 42614"
31608,60660,HT AC1,T_19,AC,Hitachi,38000,"3328, 3354, 416, 1248, 416, 416, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 1248, 416, 416, 416, 1248, 416, 416, 416, 1248, 416, 416, 416, 1248, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 1248, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 416, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 99112"
32156,61208,HT AC5,21_F_3_H,AC,Hitachi,38000,"3380, 1716, 416, 1222, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1222, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1222, 416, 416, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 416, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1222, 416, 1222, 416, 416, 416, 416, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 416, 416, 416, 416, 1222, 416, 1222, 416, 416, 416, 416, 416, 416, 416, 1222, 416, 416, 416, 416, 416, 1222, 416, 416, 416, 416, 416, 1222, 416, 1222, 416, 416, 416, 1222, 416, 1222, 416, 416, 416, 1222, 416, 1222, 416, 416, 416, 416, 416, 416, 416, 1222, 416, 416, 416, 416, 416, 416, 416, 1222, 416, 416, 416, 1222, 416, 1222, 416, 416, 416, 1222, 416, 1222, 416, 1222, 416, 416, 416, 1222, 416, 416, 416, 416, 416, 1222, 416, 416, 416, 1222, 416, 416, 416, 1222, 416, 416, 416, 1222, 416, 1222, 416, 416, 416, 1222, 416, 416, 416, 1222, 416, 416, 416, 1222, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 416, 416, 1222, 416, 1222, 416, 416, 416, 416, 416, 416, 416, 1222, 416, 416, 416, 1222, 416, 416, 416, 416, 416, 1222, 416, 1222, 416, 1222, 416, 416, 416, 1222, 416, 1222, 416, 416, 416, 416, 416, 416, 416, 1222, 416, 416, 416, 416, 416, 1222, 416, 416, 416, 1222, 416, 1222, 416, 1222, 416, 416, 416, 1222, 416, 1222, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 442, 98800"
32157,61209,HT AC5,20_S_3_H,AC,Hitachi,38000,"3380, 1690, 416, 1248, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1248, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1248, 416, 390, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 390, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1248, 416, 1248, 416, 390, 416, 390, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 390, 416, 390, 416, 1248, 416, 1248, 416, 390, 416, 390, 416, 390, 416, 1248, 416, 390, 416, 390, 416, 1248, 416, 390, 416, 390, 416, 1248, 416, 1248, 416, 390, 416, 1248, 416, 1248, 416, 390, 416, 1248, 416, 1248, 416, 390, 416, 390, 416, 390, 416, 1248, 416, 390, 416, 390, 416, 390, 416, 1248, 416, 390, 416, 1248, 416, 1248, 416, 390, 416, 1248, 416, 1248, 416, 1248, 416, 390, 416, 1248, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1248, 416, 390, 416, 1248, 416, 390, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 390, 416, 1248, 416, 390, 416, 1248, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 390, 416, 1248, 416, 1248, 416, 390, 416, 390, 416, 390, 416, 1248, 416, 390, 416, 1248, 416, 390, 416, 390, 416, 1248, 416, 1248, 416, 1248, 416, 390, 416, 1248, 416, 1248, 416, 390, 416, 390, 416, 390, 416, 1248, 416, 390, 416, 390, 416, 1248, 416, 390, 416, 1248, 416, 1248, 416, 1248, 416, 390, 416, 1248, 416, 1248, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 442, 98462"
32158,61210,HT AC5,20_F_2_C,AC,Hitachi,38000,"3380, 1716, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 390, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 390, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 1222, 416, 390, 416, 390, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 390, 416, 390, 416, 1222, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 390, 416, 390, 416, 1222, 416, 390, 416, 390, 416, 1222, 416, 1222, 416, 390, 416, 1222, 416, 1222, 416, 390, 416, 1222, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 390, 416, 1222, 416, 1222, 416, 390, 416, 1222, 416, 1222, 416, 1222, 416, 390, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 390, 416, 1222, 416, 390, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 390, 416, 1222, 416, 390, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 390, 416, 390, 416, 1222, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 1222, 416, 390, 416, 390, 416, 1222, 416, 1222, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 390, 416, 390, 416, 1222, 416, 390, 416, 1222, 416, 1222, 416, 1222, 416, 390, 416, 1222, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 442, 98462"
32159,61211,HT AC5,20_S_3_C,AC,Hitachi,38000,"3380, 1690, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 390, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 390, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 1222, 416, 390, 416, 390, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 390, 416, 390, 416, 1222, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 390, 416, 390, 416, 1222, 416, 390, 416, 390, 416, 1222, 416, 1222, 416, 390, 416, 1222, 416, 1222, 416, 390, 416, 1222, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 390, 416, 1222, 416, 1222, 416, 390, 416, 1222, 416, 1222, 416, 1222, 416, 390, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 390, 416, 1222, 416, 390, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 390, 416, 1222, 416, 390, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 390, 416, 1222, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 390, 416, 390, 416, 1222, 416, 390, 416, 1222, 416, 1222, 416, 1222, 416, 390, 416, 1222, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 390, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 416, 1222, 442, 97968"
32160,61212,HT AC5,29_S_A_C,AC,Hitachi,38000,"3380, 1716, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 416, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 416, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 416, 416, 416, 416, 1248, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 416, 416, 1248, 416, 1248, 416, 416, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 416, 416, 1248, 416, 1248, 416, 416, 416, 1248, 416, 1248, 416, 1248, 416, 416, 416, 1248, 416, 416, 416, 416, 416, 1248, 416, 416, 416, 1248, 416, 1248, 416, 1248, 416, 416, 416, 1248, 416, 1248, 416, 416, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 1248, 416, 416, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 416, 416, 1248, 416, 416, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 416, 416, 416, 416, 1248, 416, 416, 416, 1248, 416, 1248, 416, 1248, 416, 416, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 442, 98800"
32161,61213,HT AC5,29_S_A_H,AC,Hitachi,38000,"3380, 1716, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 416, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 416, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 416, 416, 416, 416, 1248, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 416, 416, 1248, 416, 1248, 416, 416, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 416, 416, 1248, 416, 1248, 416, 416, 416, 1248, 416, 1248, 416, 1248, 416, 416, 416, 1248, 416, 416, 416, 416, 416, 1248, 416, 416, 416, 1248, 416, 1248, 416, 1248, 416, 416, 416, 1248, 416, 1248, 416, 416, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 416, 416, 1248, 416, 1248, 416, 416, 416, 1248, 416, 416, 416, 1248, 416, 416, 416, 1248, 416, 416, 416, 416, 416, 1248, 416, 416, 416, 1248, 416, 416, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 416, 416, 416, 416, 1248, 416, 416, 416, 1248, 416, 1248, 416, 1248, 416, 416, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 416, 1248, 442, 98800"
