#,_id,fragment,button_fragment,device,brand,frequency,main_frame
10606,27380,ToshBlue3,Display,BluRayPlayers,Toshiba,38095,"8892, 4446, 546, 1638, 546, 546, 546, 1638, 546, 546, 546, 546, 546, 546, 546, 1638, 546, 546, 546, 1638, 546, 546, 546, 1638, 546, 546, 546, 1638, 546, 1638, 546, 546, 546, 1638, 546, 546, 546, 1638, 546, 1638, 546, 546, 546, 1638, 546, 546, 546, 546, 546, 546, 546, 1638, 546, 546, 546, 546, 546, 1638, 546, 546, 546, 1638, 546, 1638, 546, 1638, 546, 39806, 8892, 2210, 546, 95264"
13082,31327,Bush TV3,Exit,TV,Bush,36364,"864, 864, 1755, 864, 864, 864, 864, 864, 864, 864, 864, 864, 864, 1755, 864, 864, 1755, 864, 864, 864, 864, 864, 864, 89208"
14700,32945,RCA TV2,1,TV,RCA,38095,"3952, 3952, 494, 1976, 494, 1976, 494, 1976, 494, 1976, 494, 988, 494, 988, 494, 1976, 494, 1976, 494, 988, 494, 988, 494, 988, 494, 1976, 494, 988, 494, 988, 494, 988, 494, 988, 494, 1976, 494, 1976, 494, 988, 494, 988, 494, 1976, 494, 1976, 494, 1976, 494, 988, 494, 7748"
16252,34846,Pioneer TV5,0,TV,Pioneer,40000,"8475, 4225, 550, 550, 550, 1575, 550, 550, 550, 1575, 550, 550, 550, 1575, 550, 550, 550, 1575, 550, 1575, 550, 550, 550, 1575, 550, 550, 550, 1575, 550, 550, 550, 1575, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 550, 1575, 550, 1575, 550, 1575, 550, 1575, 550, 1575, 550, 1575, 550, 1575, 550, 1575, 550, 25250"
18596,39066,PanaSetTop2,5,Set-top-box,Panasonic,57143,"3264, 3298, 816, 2465, 816, 833, 816, 2465, 816, 2465, 816, 850, 816, 833, 816, 833, 816, 2465, 816, 833, 816, 2465, 816, 850, 816, 833, 816, 2465, 816, 833, 816, 833, 816, 2499, 816, 2465, 816, 2465, 816, 833, 816, 2465, 816, 833, 816, 2482, 816, 36040"
20544,42225,Emerson AV2,Volume_Down,AVReceivers,Emerson,38000,"4420, 4394, 546, 1612, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 1612, 546, 1612, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 1612, 546, 1612, 546, 1612, 546, 1612, 546, 1612, 546, 1612, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 1612, 546, 1612, 546, 1612, 546, 48100, 4420, 4394, 546, 546, 546, 98800"
22327,45044,Pioneer Home1,PowerOff,HomeTheater,Pioneer,38400,"8476, 4160, 572, 1534, 572, 442, 572, 1508, 572, 442, 572, 442, 572, 1534, 572, 442, 572, 1534, 572, 442, 546, 1534, 572, 442, 572, 1534, 572, 1534, 572, 442, 546, 1534, 572, 468, 546, 1534, 572, 1534, 572, 442, 546, 1534, 572, 1534, 572, 442, 572, 442, 572, 442, 572, 442, 572, 442, 546, 1534, 572, 442, 572, 442, 572, 1534, 572, 1534, 546, 1534, 572, 25142, 8476, 4160, 572, 1534, 572, 442, 572, 1508, 572, 442, 572, 442, 572, 1534, 572, 442, 572, 1534, 546, 442, 572, 1534, 572, 442, 572, 1534, 572, 1534, 572, 416, 572, 1534, 572, 442, 572, 1534, 572, 1534, 546, 442, 572, 1534, 572, 1534, 572, 442, 572, 442, 572, 442, 572, 442, 572, 442, 546, 1534, 572, 442, 572, 442, 572, 1534, 572, 1534, 546, 1534, 572, 25142"
24572,48954,NEC Projector1,Navigate_Left,Projectors,NEC,38095,"8918, 4446, 546, 546, 546, 546, 546, 546, 546, 1690, 546, 1690, 546, 546, 546, 546, 546, 546, 546, 1690, 546, 546, 546, 546, 546, 1690, 546, 546, 546, 1690, 546, 1690, 546, 1690, 546, 546, 546, 1690, 546, 1690, 546, 1690, 546, 1690, 546, 1690, 546, 546, 546, 1690, 546, 1690, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 1690, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 1690, 546, 1690, 546, 1690, 546, 1690, 546, 1690, 546, 1690, 546, 1690, 546, 1690, 546, 11648, 8918, 2236, 546, 95108"
25794,51187,ViewSonic TV2,Menu,TV,ViewSonic,38000,"884, 858, 1742, 884, 884, 858, 884, 858, 884, 858, 884, 858, 884, 1742, 1742, 1742, 884, 858, 884, 858, 1742, 91884, 884, 858, 1742, 884, 884, 858, 884, 858, 884, 858, 884, 858, 884, 1742, 1742, 1742, 884, 858, 884, 858, 1768, 91884, 884, 858, 1742, 884, 884, 858, 884, 858, 884, 858, 884, 858, 884, 1742, 1742, 1742, 884, 858, 884, 858, 1742, 99112"
26092,51485,Zenith TV5,PIP_On/Off,TV,Zenith,40000,"500, 475, 500, 4000, 500, 4975, 500, 475, 500, 4000, 500, 4975, 500, 475, 500, 4000, 500, 500, 475, 4000, 500, 4975, 500, 500, 475, 4000, 500, 4975, 500, 500, 475, 4000, 500, 126675"
